Question	A	B	C	D	Réponse correcte	GenRes
"Question :  Quel type de faiblesse est celui où la faiblesse existe indépendamment des autres faiblesses ?
A. Primaire
B. Enfant
C. Défaut
D. Top Ten"	A					A
"Question : Quelle conséquence commune de la faiblesse CWE-412 est décrite dans le texte ?
A. Corruption de données
B. Fuite de mémoire
C. Déni de service
D. Injection de code"	C					C
"Question : Quel est le type de vulnérabilité décrite dans le texte ?
A. Déni de service
B. Authentification manquante
C. Authentification contournée
D. Cross-site scripting"	C					C
"Question :
Quel type de relation est établi entre la page ""Improper Neutralization of Directives in Statically Saved Code"" et la page ""Server-Side Includes (SSI) Injection"" ?
A. ParentOf
B. ChildOf
C. SiblingOf
D. SpouseOf"	B					A
"Question : Le texte indique que la vulnérabilité d'injection SQL survient lorsqu'un logiciel :

A. utilise une entrée influencée de l'extérieur sans la neutraliser correctement.
B. exécute des commandes système en fonction d'entrées contrôlées par l'utilisateur.
C. n'effectue pas de distinction entre les plans de contrôle et de données.
D. enregistre les entrées utilisateur dans une base de données."	A					A
"**Question :**

Quelle faille de sécurité implique une lecture en dehors des limites prévues d'un tableau ?

A. Buffer Over-read
B. Wrap-around Error
C. Out-of-bounds Read
D. Improper Handling of Extra Values

**"	** C					C
"Question : Quelle est la bonne pratique de validation des entrées mentionnée dans le texte ?

A. Décoder et canonicaliser les entrées avant validation
B. Décoder les entrées deux fois
C. Utiliser uniquement des listes noires pour la validation
D. Ignorer les délimiteurs dans les entrées"	A					A
"Question : Quelle est la description concise de cette vulnérabilité CWE-76 ?
A. Neutralisation incorrecte d'éléments spéciaux équivalents
B. Injection d'un élément spécial
C. Neutralisation incorrecte d'éléments spéciaux dans une commande
D. Filtrage incorrect d'éléments spéciaux dangereux"	A					Flagged
"Question : Quel type d'erreur est associé à la validation d'entrées avant leur décodage et leur canonicalisation ?

A. Erreur de validation incorrecte
B. Erreur de filtrage précoce
C. Erreur de comparaison
D. Erreur de nettoyage"	B					B
"Question : Quel est le paramètre qui doit être passé avec la valeur 3 ?
A. Deuxième paramètre des fonctions __fxstat64
B. Troisième paramètre des fonctions __wcstol_internal
C. Premier paramètre des fonctions __xstat
D. Quatrième paramètre des fonctions __lxstat64"	C					A
"Question : Quel mode d'introduction permet de détecter les faiblesses CWE-665 ?
A. Modes bien testés
B. Modes rarement testés
C. Modes fréquemment utilisés
D. Modes de protection"	B					B
"Question : Selon le texte, quel traitement de données personnelles constitue un intérêt légitime du responsable du traitement des données ?

A. Le marketing direct
B. La transmission de données au sein d'un groupe d'entreprises
C. La prévention de la fraude
D. La sécurité du réseau et des informations"	C					D
"**Question :**

Selon le texte, quelle est une stratégie d'atténuation potentielle pour l'attaque par observation du temps ?

A. Spécifier des stratégies d'implémentation qui n'introduisent pas de variations temporelles dans les opérations
B. Comparer les hachages des mots de passe plutôt que les mots de passe eux-mêmes
C. Ajouter des retards artificiels ou aléatoires pour que le temps CPU consommé soit indépendant de l'action
D. Manipuler artificiellement le moment des opérations

**"	** C					A
"Question : Quelle catégorie OWASP Top Ten 2004 est liée à cette faiblesse ?
A. A1 - Injection
B. A9 - Déni de service
C. A7 - Cross-site Scripting (XSS)
D. A4 - Révélation d'informations sensibles"	B					C
"Question : Laquelle des clauses suivantes est incluse dans les règles d'entreprise contraignantes ?

A. Mécanismes de vérification des mesures correctives
B. Format d'échange d'informations entre les contrôleurs
C. Liste des superviseurs compétents
D. Procédures de déclaration des transferts de données"	A					A
"Question : Quel type d'attaque s'appuie fortement sur les différences de comportement et de réponse ?
A. Attaque par force brute
B. OS fingerprinting
C. Injection SQL
D. Vol d'identité"	B					B
"Question :  Laquelle des affirmations suivantes est une bonne pratique pour valider les noms de fichiers ?
A. Utiliser une liste blanche rigoureuse limitant les caractères autorisés
B. S'appuyer uniquement sur un mécanisme de filtrage pour supprimer les caractères potentiellement dangereux
C. Autoriser plusieurs caractères ""."" dans le nom de fichier
D. Inclure des séparateurs de répertoire tels que ""/"" dans le nom de fichier"	A					A
"Question :  Quelles mesures sont interdites par le texte ?

A. Les mesures basées sur l'orientation sexuelle
B. Les mesures basées sur la religion
C. Les mesures basées sur la santé génétique
D. Toutes les réponses précédentes"	D					D
"**Question :**

À qui ne s'applique pas le Règlement général sur la protection des données (RGPD) ?

A. Aux personnes physiques
B. Aux micro, petites et moyennes entreprises
C. Aux entreprises établies comme personnes morales
D. Aux institutions et organes de l'Union

**"	C**					D
"Question :
Quelle est la vulnérabilité décrite dans le texte ?

A. Dépassement de mémoire tampon
B. Dépassement de capacité
C. Corruption de mémoire
D. Erreur de déréférencement"	A					A
"Question : Quel est l'un des obstacles identifiés dans le texte ?

A. La fragmentation de la mise en œuvre de la protection des données
B. L'incertitude juridique
C. La faible perception publique des risques
D. Le manque d'harmonisation des règles de protection des données"	A					A
"Question :  Quel est l'avantage des listes noires dans la validation des entrées ?
A. Elles permettent de détecter tous les types d'entrées malveillantes.
B. Elles sont efficaces pour déterminer les entrées qui doivent être rejetées immédiatement.
C. Elles peuvent être utilisées pour contourner les schémas de validation de liste blanche.
D. Elles garantissent que toutes les entrées valides sont acceptées."	B					B
"Question : Quel est le moyen le plus prudent pour échapper ou filtrer les caractères spéciaux ?
A. Échapper ou filtrer uniquement les caractères qui ne sont pas dans une liste blanche très stricte
B. Filtrer tous les caractères sauf les espaces blancs
C. Échapper tous les caractères sauf les espaces blancs
D. Encadrer chaque argument entre guillemets après l'échappement/filtrage"	A					A
"Question : Quelle fonction présente un risque de débordement de mémoire ?
A. strcat()
B. strcpy()
C. sprintf()
D. strlcpy()"	B					A
