Question	A	B	C	D	Réponse correcte	GenRes
"Question : Quel est le rôle de la base de connaissances MITRE ATT&CK ?

A. Fournir une base pour développer des modèles de menaces spécifiques
B. Être utilisé comme outil de test pour l'émulation des adversaires
C. Servir de référentiel pour les efforts de renseignement sur les menaces
D. Tout ce qui précède"	D					D
"Question : Dans quel but le document décrit-il ATT&CK ?

A. Fournir des informations et des conseils sur la maintenance et l'application de la méthodologie ATT&CK.
B. Évaluer les performances des outils de cybersécurité.
C. Créer des bases de connaissances pour de nouveaux domaines.
D. Développer des techniques d'attaque innovantes."	A					A
"**Question :**

Quel type d'objet est structuré dans la section 3.6.1 du texte ?

A. Techniques and Sub-Techniques
B. Groups
C. Software
D. Mitigations

**"	** C					A
"Question : Quel élément de l'ATT&CK Methodology est décrit dans la section 3.9.1.4 ?
A. Mitigations
B. Deprecation
C. Matrix
D. Releases"	A					A
"**Question :**

Quelle section du document traite des étapes de création de nouvelles techniques ?

A. 4.3.1.1
B. 4.3.2
C. 4.3.4
D. 4.3.5

**"	B**					B
"**Question :** Quel modèle présente les relations entre les techniques du référentiel ATT&CK ?

A. Modèle de persistance
B. Modèle de groupe
C. Modèle de logiciel
D. Modèle de mitigation

**"	** B					B
"Question : Laquelle des affirmations suivantes sur ATT&CK est VRAI ?

A. Il s'agit d'une énumération exhaustive des vecteurs d'attaque contre les logiciels.
B. Il a été créé en 2015.
C. Il ne couvre que les systèmes Microsoft Windows.
D. Il comprend des sous-techniques qui décrivent des moyens spécifiques pour atteindre des objectifs tactiques."	D					D
"Question : Quel est l'objectif principal de l'utilisation d'ATT&CK dans les évaluations de sécurité ?
A. Identifier les lacunes défensives
B. Mesurer l'efficacité des SOC
C. Enrichir les renseignements sur les cybermenaces
D. Toutes les réponses ci-dessus"	D					D
"Question :
Quelle est la raison pour laquelle il n'est pas recommandé d'attribuer une activité uniquement sur la base des techniques ATT&CK utilisées ?

A. Les techniques ATT&CK sont trop larges pour être attribuées à un groupe particulier.
B. Les groupes utilisent souvent les mêmes techniques, ce qui rend difficile l'attribution.
C. Les techniques ATT&CK ne sont pas suffisamment détaillées pour permettre une attribution précise.
D. L'attribution d'une activité nécessite d'autres preuves en plus des techniques ATT&CK utilisées."	B					D
"Question : Dans quel cas l'utilisation d'un compte Cloud n'indique pas une activité malveillante ?
A. Lorsque des données sont collectées sur l'utilisation du compte
B. Lorsque le compte est utilisé dans une situation spécifique
C. Lorsque le compte est utilisé uniquement pour des tâches de routine
D. Lorsque le compte est utilisé dans un environnement sécurisé"	C					B
"Question : Selon le texte, quel aspect de l'utilisation d'ATT&CK est aussi important que la base de connaissances elle-même ?
A. La couverture totale de toutes les techniques ATT&CK
B. Le processus d'utilisation de la base de connaissances
C. L'identification des techniques les plus rares
D. La mise en œuvre de contrôles et de mesures préventives"	B					B
"Question : Quelle est la sous-technique utilisée par l'adversaire avant le démarrage du système d'exploitation pour obtenir la persistance ?
A. Account Manipulation
B. Bootkit
C. Component Firmware
D. Scheduled Task/Job"	B					B
"Question : Selon le texte, que couvre PRE-ATT&CK ?

A. Les comportements adverses avant l'accès au réseau
B. Les tactiques utilisées par les adversaires
C. Les techniques employées pour exécuter du code
D. Les domaines technologiques ciblés"	A					A
"Question : Que représentent les techniques dans le cadre ATT&CK ?

A. Les moyens utilisés par un adversaire pour atteindre un objectif tactique
B. Les informations que l'adversaire cherche à obtenir
C. Les étapes détaillées des actions de l'adversaire
D. Les objectifs stratégiques de l'adversaire"	A					A
"Question :  Selon le texte, quelles sont les méthodes utilisées par les procédures pour vider des informations d'identification ?
    A. Process Injection et LSASS Memory uniquement
    B. PowerShell, Process Injection et LSASS Memory
    C. PowerShell et LSASS Memory
    D. Process Injection uniquement"	B					B
"Question : Quelle est la signification du tag ""*Supports Remote*"" ?
A. La (sous-)technique peut être utilisée pour exécuter quelque chose sur un système distant.
B. La (sous-)technique nécessite un accès distant pour fonctionner.
C. La (sous-)technique peut être détectée par la surveillance des processus.
D. La (sous-)technique ne peut pas être exécutée sur un système distant."	A					A
"Question : Quel champ est utilisé pour référencer un billet lié sur le site de CAPEC ?
A. Procedure Examples Relationship
B. Contributor Tag
C. CAPEC ID
D. Impact Type"	C					Flagged
"**Question :** Quelle a été la raison principale de l'ajout de sous-techniques à ATT&CK en 2020 ?

**A.** Augmenter la complexité de la base de connaissances
**B.** Corriger les problèmes de niveau d'abstraction des techniques
**C.** Réduire les coûts d'entretien de la base de connaissances
**D.** Améliorer la précision des informations sur les menaces

**"	B**					Flagged
"Question :
Quelle est l'une des raisons pour lesquelles toutes les techniques n'ont pas de sous-techniques ?
A. Les sous-techniques ne sont pas nécessaires pour chaque technique.
B. Les sous-techniques peuvent être difficiles à mettre en œuvre.
C. Les sous-techniques ne s'appliquent qu'à certains systèmes d'exploitation.
D. Les sous-techniques sont trop générales pour être utiles."	A					Flagged
"Question : Selon le texte, quelle technique d'héritage n'est PAS appliquée entre les techniques et les sous-techniques ?
A. Héritage d'informations de données sources
B. Héritage d'informations d'atténuation
C. Héritage de procédures de groupe
D. Héritage de procédures de logiciel"	C					C
"Question : Quel élément est obligatoire dans le modèle de données ATT&CK ?
A. Nom
B. Version
C. Description
D. Techniques utilisées"	A					Flagged
"Question : Dans quelle catégorie de logiciel sont classés les utilitaires Windows tels que Net, netstat et Tasklist ?
A. Malware
B. Outil
C. Technique
D. Groupe"	B					B
"Question : Quelle information est incluse dans le champ ""Associated Software Descriptions"" ?

A. Une liste des sous-techniques mises en œuvre par le logiciel
B. Une description des logiciels associés avec des références
C. Une liste des groupes qui utilisent le logiciel
D. Des détails sur la façon dont les techniques sont mises en œuvre"	B					B
"Question : Quelle version de format de données a été utilisée en premier dans ATT&CK pour Mobile pour les atténuations ?
A. Texte libre
B. Objet
C. Table
D. XML"	B					B
"Question : Selon le texte, quelles modifications entraînent des changements de version majeure pour les techniques et sous-techniques ?
    A. Modifications de la description
    B. Ajouts de références
    C. Changement de nom ou de portée
    D. Modifications des exemples de procédures"	C					C
"Quelle est la raison la plus probable pour laquelle un objet peut être déprécié ?

A. En raison de l'ajout de nouvelles techniques
B. Pour éviter de suivre des données inutiles
C. Pour supprimer des objets obsolètes
D. Pour mettre à jour la taxonomie"	B					C
"Question :
Selon le texte, quelle est l'une des trois idées conceptuelles fondamentales derrière ATT&CK ?
A. Elle adopte le point de vue des défenseurs
B. Elle est basée sur des modèles théoriques
C. Elle adopte le point de vue des assaillants
D. Elle est uniquement axée sur les contre-mesures défensives"	C					C
"**Question :** D'où proviennent principalement les sources d'information pertinentes pour les techniques ATT&CK ?

**A.** Conférences
**B.** Webinaires
**C.** Rapports de renseignement sur les menaces
**D.** Toutes les réponses ci-dessus

**"	D**					D
"**Question :**

Qui peut contribuer à ATT&CK en fournissant des observations sur les adversaires en action ?

A. Threat intelligence analysts
B. Red teamers
**C. Defenders**
D. Malware analysts

**"	** C					C
"Question : Quel est l'avantage d'un modèle d'adversaire de niveau intermédiaire comme ATT&CK par rapport aux modèles de haut et bas niveau ?

A. Il fournit des détails spécifiques sur les logiciels exploitables.
B. Il aide à comprendre les processus de haut niveau et les objectifs des adversaires.
C. Il peut être facilement mis en œuvre avec des exemples de code.
D. Il permet de cartographier efficacement les comportements adversaires aux défenses."	D					D
"Question : Dans le texte, quel niveau de modèle d'attaque est utile pour relier les informations sur les menaces et les données sur les incidents ?
A. Haut niveau
B. Milieu de niveau
C. Bas niveau
D. Niveau intermédiaire"	B					B
"Question : Quelle était la position de la tactique ""Collection"" dans la version originale d'ATT&CK for Enterprise, Windows ?
A. Elle existait en tant que tactique distincte
B. Elle était incluse dans la tactique ""Exfiltration""
C. Elle n'était pas inclue dans le framework
D. Elle était incluse dans la tactique ""Credential Access"""	B					A
"Question : Quel est le critère principal pour nommer une technique ?
A. Sa précision
B. Son impact
C. Son unicité
D. Son application"	C					C
"Question : Quel type de sous-technique tend à décrire comment les composants individuels d'une plateforme sont exploités par les adversaires ?
A. Technique
B. Sous-technique spécifique à une plateforme
C. Sous-technique de concept similaire
D. Technique de regroupement"	B					B
"**Question :**

Quelles sont les catégories d'informations d'utilisation empirique qui peuvent être utilisées par ATT&CK ?

**A.** Signalée, non publique
**B.** Signalée, sous-estimée, non signalée
**C.** Sous-estimée, non signalée, non publique
**D.** Non signalée, publique, sous-estimée

**"	B**					B
"Question : Selon le texte, quel facteur est pris en compte lors de la distinction entre les techniques ?
A. La disponibilité des ressources
B. Les actions effectuées
C. Le nombre de personnes impliquées
D. Le budget alloué"	B					B
"Question : Laquelle des questions suivantes doit être prise en compte lors de l'amélioration des techniques existantes ?

A. La tactique sous laquelle le comportement se classe
B. La similitude d'exécution avec d'autres techniques
C. La disponibilité des données d'utilisation empirique
D. Le nombre de manières différentes dont le comportement peut être exécuté"	B					C
"Question : Quel facteur détermine si de nouvelles techniques doivent être créées ou si des techniques existantes doivent être améliorées ?
A. Différences dans les considérations d'atténuation
B. Utilisation et variations de techniques par des groupes d'adversaires
C. Différences analytiques dans la détection des artefacts
D. Sources de renseignement sur les menaces"	B					B
"Question :
Lequel des critères suivants n'est PAS utilisé pour évaluer la fiabilité d'une source selon le texte ?
A. Consistance interne et externe
B. Fiabilité passée
C. Utilisation répandue et respect
D. Grammaire et orthographe"	D					Flagged
"Question : Selon le texte, lequel des éléments suivants doit être cité pour chaque groupe associé ?

A. Informations supplémentaires
B. Analyse basée sur des données incomplètes
C. Techniques utilisées
D. Échantillons de logiciels spécifiques"	C					C
"Question : Quelle est la technique utilisée pour dissimuler les processus malveillants des défenses courantes ?
A. Processus d'injection
B. Analyse de l'arborescence des processus
C. Code de dissimulation
D. Injection de DLL"	A					Flagged
"Question : Quel choix parmi les suivants est une conclusion tirée du texte ?
A. SQLi est difficile à détecter en raison de la variance dans les tentatives.
B. SQLi est principalement utilisé pour accéder à des serveurs Web externes.
C. Les outils utilisés pour SQLi interne doivent être téléchargés par l'adversaire.
D. Les méthodes de détection de SQLi diffèrent selon le type de variation interne ou externe."	B					Flagged
"Question : Selon le texte, dans quels cas l'application de la méthodologie ATT&CK ne conduit pas à un modèle ATT&CK ?

A. Lorsque la technique est très utilisée par les adversaires
B. Lorsqu'il existe peu de renseignements sur les adversaires
C. Lorsque la technique est facile à détecter
D. Lorsque la technique est bien mitigée par une conception logiciel appropriée"	B					Flagged
"Question : Lequel des éléments suivants N'EST PAS un domaine dans lequel ATT&CK est utilisé ?
A. Détection d'intrusion
B. Chasse aux menaces
C. Ingénierie de sécurité
D. Misinformation"	D					Flagged
"**Question :**

Selon le texte, lequel des éléments suivants a été essentiel à la perception et à l'utilisation de la méthodologie ATT&CK ?

**Choix :**

A. Son orientation vers les cas d'utilisation
B. Son ancrage dans les connaissances empiriques sur les menaces
C. Sa capacité à modéliser le comportement des adversaires
D. Son champ d'application limité aux domaines couverts par ATT&CK

**"	** B					B
"**Question :** À quelle date a été consultée la ressource ""Process Injection"" de MITRE Corporation ?
A. 20 décembre 2017
B. 17 mars 2020
C. 16 mars 2020
D. 18 juillet 2019

**"	** C					B
"Question : Quel document est cité en référence dans le texte ?
A. La Charte des droits fondamentaux de l'Union européenne
B. La directive 95/46/CE
C. Le règlement général sur la protection des données (RGPD)
D. Le traité sur le fonctionnement de l'Union européenne"	C					C
"Question : Quel est le principal objectif de la Directive 95/46/CE ?

A. Harmoniser la protection des droits fondamentaux dans le traitement des données personnelles
B. Garantir le libre transfert des données personnelles entre les États membres
C. Promouvoir le progrès économique et social
D. Protéger la vie privée et familiale"	A					A
"**Question :**

Quel est l'objectif de la Réglementation sur la protection des données (RGPD) ?

**A.** Contrôler les échanges de données personnelles entre les acteurs publics et privés.
**B.** Accroître la collecte et le partage de données personnelles.
**C.** Renforcer la protection des données personnelles face aux avancées technologiques.
**D.** Faciliter le transfert de données personnelles vers des pays tiers sans protection adéquate.

**"	C**					C
